RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
6174,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.57725983,-112.05400195,POINT (-112.05400195 33.57725983)
6077,Observation Tool,App,01/27/2020,2020,Phoenix,62+,25+,male,White,DK/REF,White,,,33.451592512,-112.074136371,POINT (-112.074136371 33.451592512)
5772,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.445409141,-112.086863536,POINT (-112.086863536 33.445409141)
5000,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,female,American Indian or Alaska Native,Yes,American Indian or Alaska Native,No,true,33.495724868,-112.074671104,POINT (-112.074671104 33.495724868)
5646,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,DK/REF,DK/REF,DK/REF,,,33.44595771,-112.08775286,POINT (-112.08775286 33.44595771)
6748,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,DK/REF,DK/REF,,,33.553637234,-112.104236669,POINT (-112.104236669 33.553637234)
5173,Interview,App,01/27/2020,2020,Tempe,55-61,25+,male,White,No,White,No,,33.42175995,-111.93592293,POINT (-111.93592293 33.42175995)
4860,Interview,App,01/27/2020,2020,Tempe,25-54,25+,male,White,No,White,No,true,33.43002736,-111.935455894,POINT (-111.935455894 33.43002736)
6552,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.5680949,-112.1143324,POINT (-112.1143324 33.5680949)
5279,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,Yes,White,No,,33.50920875,-112.11891379,POINT (-112.11891379 33.50920875)
5359,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,female,American Indian or Alaska Native,Yes,American Indian or Alaska Native,No,,33.46476212,-112.21991203,POINT (-112.21991203 33.46476212)
4795,Interview,App,01/27/2020,2020,Phoenix,55-61,25+,male,Multiple Races,No,Multiple Races,No,,33.453051289,-112.06976587,POINT (-112.06976587 33.453051289)
6462,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,male,DK/REF,DK/REF,DK/REF,,,33.349300359,-111.95510719,POINT (-111.95510719 33.349300359)
5040,Interview,App,01/27/2020,2020,Mesa,25-54,25+,male,American Indian or Alaska Native,No,American Indian or Alaska Native,No,true,33.41482278,-111.855210867,POINT (-111.855210867 33.41482278)
